#Activity	going_down_in_elevator 
#ActivityID	11 
#Date 09-24-16-36
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8732	-612	12100	-114	176	-215	-14624	580	-4228	-102	-273	136	-14348	3468	-1628	-5	48	-10	-9072	3072	12488	193	57	-120	-14140	2084	-3924	189	-88	-52	-14448	1396	-2308	228	-320	200	127	127	11
-8372	-1056	11656	-108	100	-296	-14568	640	-4024	-124	-301	103	-14436	3396	-1476	100	-135	29	-8684	3012	12460	145	-121	-92	-14276	2068	-3728	96	-136	-86	-14484	1480	-2240	287	-372	242	127	127	11
-8460	-840	11896	-65	-58	-249	-14748	568	-3800	203	-195	148	-14472	3472	-1460	299	-211	54	-8972	2988	12456	110	-195	-144	-14436	2120	-3840	62	-160	-108	-14788	1676	-2364	286	-454	198	127	127	11
-8532	-1128	12124	-3	-108	-288	-14748	636	-3808	238	-275	154	-14860	3600	-916	422	-317	28	-8444	2812	12120	101	-229	-110	-14676	1936	-3888	-38	-190	-106	-15116	1696	-2280	191	-483	152	127	126	11
-8792	-880	12396	19	-193	-260	-15192	704	-3852	325	-115	176	-15116	3752	-848	502	-423	75	-9020	2968	12804	69	-245	-97	-14852	2036	-3916	-87	-199	-114	-15368	1572	-2160	19	-425	119	128	127	11
-8752	-1128	12364	39	-166	-218	-15436	716	-3844	339	-78	158	-15064	3820	-1128	413	-327	56	-8984	2912	12780	95	-206	-86	-15016	1892	-4040	-105	-212	-143	-15620	1336	-2116	-108	-386	123	128	127	11
-8516	-1068	12480	63	-97	-205	-15576	764	-3908	274	-39	191	-15180	3952	-1224	285	-252	-9	-9372	3140	12980	129	-118	-44	-15008	1856	-3948	-91	-206	-124	-15624	1232	-2004	-166	-302	151	125	126	11
-8712	-980	12624	40	-37	-194	-15524	904	-3980	110	-28	114	-15288	4044	-1324	143	-165	9	-9120	2840	12780	148	-99	-78	-15096	1760	-3824	-61	-194	-91	-15552	1248	-1872	-124	-245	198	129	127	11
-8568	-992	12392	-43	66	-193	-15580	824	-4016	53	-35	155	-15172	3984	-1372	-68	-119	10	-9188	3000	12868	160	-1	-105	-14968	1780	-3912	-6	-212	-57	-15428	1128	-1928	-50	-211	222	125	126	11
-8488	-1020	12300	-59	154	-196	-15376	756	-4140	4	-47	121	-14948	3812	-1508	-213	-61	61	-8996	2972	12760	145	46	-81	-14796	1776	-3804	125	-190	-67	-15224	1164	-1840	129	-203	255	128	127	11
-8648	-988	12116	-62	159	-211	-15340	756	-4152	-9	-98	127	-14688	3584	-1656	-170	-13	17	-8972	2964	12608	204	24	-77	-14668	1852	-3656	147	-136	15	-15080	1320	-1876	215	-196	276	128	126	11
-8552	-1008	12228	-80	186	-218	-15024	656	-4000	-98	-188	157	-14808	3536	-1628	-57	-27	21	-8748	2968	12316	190	39	-120	-14424	1976	-3820	176	-167	19	-14840	1428	-2116	245	-233	273	129	126	11
-8600	-1036	12100	-84	159	-276	-14944	660	-4060	-71	-227	196	-14568	3452	-1568	37	-128	115	-8932	2948	12448	229	-11	-96	-14364	1956	-3880	126	-167	14	-14716	1552	-2176	187	-334	280	127	126	11
-8400	-936	12088	-73	81	-254	-14884	640	-3980	47	-241	230	-14648	3472	-1576	162	-216	129	-8988	3000	12504	155	-65	-78	-14380	1960	-3724	143	-173	-39	-14700	1568	-2360	235	-317	244	127	126	11
-8336	-1064	12100	-85	-2	-263	-14948	672	-3828	101	-282	261	-14536	3592	-1480	228	-206	116	-9144	2948	12460	118	-76	-123	-14496	1992	-4024	71	-189	-11	-14888	1620	-2168	127	-406	193	129	126	11
-8456	-1008	12164	-46	-43	-248	-15104	760	-3832	184	-274	261	-14692	3828	-1064	373	-182	96	-9136	2968	12628	124	-142	-102	-14620	1972	-3948	-121	-192	-80	-15064	1516	-2164	-45	-413	207	123	126	11
-8532	-968	12152	-46	-33	-250	-15112	736	-3732	140	-234	262	-14880	3888	-856	334	-198	145	-8928	2840	12448	136	-140	-120	-14692	1892	-3876	-167	-234	-7	-15148	1412	-2164	-125	-341	231	126	126	11
-8584	-1008	12324	-16	-68	-229	-15228	760	-3668	128	-138	207	-14904	3840	-740	234	-240	69	-9012	2948	12728	106	-117	-100	-14920	1772	-3968	-124	-236	-38	-15268	1308	-1996	-165	-331	206	128	126	11
-8532	-1120	12452	-26	12	-202	-15344	696	-3568	145	-59	199	-14996	3800	-684	227	-239	97	-8948	2964	12664	148	-117	-70	-14892	1864	-3872	-102	-227	-20	-15420	1316	-2064	-91	-311	210	130	126	11
-8512	-1040	12408	-7	53	-194	-15428	816	-3772	146	-9	167	-15008	3812	-956	134	-185	62	-9076	2864	12572	199	-87	-106	-14932	1880	-3772	-26	-217	-10	-15304	1352	-1836	-45	-276	220	124	126	11
-8544	-988	12388	-39	123	-206	-15364	672	-3828	157	21	192	-15032	3792	-1136	115	-143	32	-8976	3032	12620	164	-56	-65	-14756	1844	-3660	3	-200	-20	-15308	1272	-1792	47	-226	222	124	125	11
