#Activity	running 
#ActivityID	2 
#Date 09-07-16-36
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-21256	-3064	26060	2220	2336	1812	-30640	-14048	20472	571	6139	1576	-12720	3648	11752	2419	-2021	-330	-32768	-31320	-23496	1745	312	-515	3752	-22088	-32768	214	2273	331	15376	-22984	11600	-2903	5822	1885	128	67	2
-23780	-8140	31792	5	2687	1940	-31088	-10112	18600	-1319	4706	1869	-9544	18624	13872	2151	-2615	-266	3080	27640	-16768	2636	3430	-585	-7696	-11640	-1360	1689	2566	22	24992	-3336	-32768	7664	6248	1567	140	24	2
-27692	-16760	32767	-864	1722	2008	-26104	-14632	12400	-3376	2633	1145	-19424	13760	13216	251	-2813	212	-32768	32767	32767	-7195	4430	-10282	15696	32767	-32768	1501	3581	-269	-23880	-8424	32767	-1198	-4855	195	129	193	2
-23076	-18584	32767	-920	-52	1656	-22776	-14152	5576	-3496	1432	678	-32768	-11976	-3168	-2029	-2190	201	32767	-32768	32767	-4531	-360	-9617	-32768	-32768	32767	-8471	14720	-4304	-32768	32767	-32768	4192	5029	-409	85	253	2
-11060	-23648	32767	-441	-962	463	-32088	-27992	6832	-2478	139	726	-32768	-17816	-11568	-304	-2420	-472	-20432	29584	4440	261	1308	189	2936	14112	-10664	2268	4223	1629	72	-32768	-25328	-198	1603	2481	125	253	2
-3224	-27416	29368	867	-2353	-935	-19328	-22664	1296	559	-391	-44	-32768	-8344	-15344	1837	-3284	-1928	5504	3496	21016	653	1252	143	-5576	8760	11544	69	3798	-813	25448	-22672	-27280	2578	3348	429	248	0	2
-4440	-16320	20440	892	-4262	-2516	-2088	-7696	-8144	3195	-1464	-1478	-32768	1480	-22728	2289	-4430	-1422	-6592	12840	16752	1014	1757	-284	-10176	3576	-21792	-264	3701	-439	-32768	29072	-32768	3642	4044	-1631	239	0	2
-5920	-9220	13764	43	-5534	-3945	-8288	-208	-6384	4101	-2892	-1652	-32768	6512	-27968	939	-4160	-1040	-13112	8264	18008	1049	2688	-476	-30496	11712	-25296	974	1971	-339	-32768	32767	-25416	222	3796	-320	165	116	2
-12864	-7032	10668	-723	-6563	-4345	-6312	-1576	-4536	3317	-4935	-1630	-21360	4280	-29624	-79	-4463	-955	-2560	10336	26336	744	4311	-1631	-32768	10920	-17216	1625	1718	-760	-32768	5744	-4384	-1873	4306	-366	145	65	2
-14564	-4832	10748	-1402	-7092	-4164	-11752	-6456	-3552	3229	-6373	-2024	-14200	-3624	-28736	-492	-3913	-468	-6360	12032	31864	959	6159	-2158	-32768	-3288	1448	269	443	-432	-32768	-472	4672	-1111	3733	-152	174	0	2
