#Activity	sitting 
#ActivityID	5 
#Date 09-23-17-37
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-7284	-1388	14212	-12	16	-21	-14728	2624	-6624	-1	-2	-12	384	192	17008	-1	-14	20	-7456	344	15184	56	-3	-135	-14872	2832	-6784	13	-2	10	-224	2232	17048	19	5	9	126	125	5
-7280	-1428	14248	-13	15	-22	-14744	2536	-6472	6	-1	-12	216	152	17128	2	-9	26	-7448	392	15176	119	-83	-135	-14920	2936	-6664	13	-6	9	-216	2072	16944	19	3	14	126	125	5
-7296	-1400	14244	-11	14	-17	-14776	2584	-6368	12	-1	-6	200	184	17048	1	-13	19	-7440	448	15056	91	-37	-129	-14704	2920	-6616	13	-4	12	-312	2040	17024	19	5	11	126	125	5
-7312	-1420	14196	-11	18	-25	-14784	2616	-6840	16	-2	-8	232	304	16968	-6	-12	26	-7488	488	15040	90	-58	-125	-14832	2848	-6680	12	-1	10	-328	2200	17056	9	1	10	127	125	5
-7272	-1404	14236	-9	13	-18	-14696	2552	-6528	11	0	-7	312	368	17104	-9	-11	20	-7488	328	14880	75	-22	-151	-14864	3024	-6576	8	-2	9	-304	2064	16960	5	-1	11	127	125	5
-7312	-1400	14208	-15	18	-22	-14712	2560	-6656	-1	0	-12	160	200	17120	-8	-13	23	-7440	384	14968	120	-20	-99	-14848	2960	-6632	1	-2	11	-224	1952	16968	5	-5	10	127	125	5
-7256	-1432	14160	-14	12	-23	-14704	2680	-6256	-3	0	-12	176	160	17072	-6	-11	22	-7528	440	14944	67	-27	-146	-14808	2824	-6696	3	1	8	-192	2032	17024	13	3	11	127	125	5
-7316	-1392	14164	-10	15	-19	-14736	2672	-6552	-5	-1	-13	160	304	17056	-4	-18	26	-7448	416	15208	103	-21	-127	-14880	2976	-6824	9	-1	6	-296	1976	17048	16	2	9	126	124	5
-7256	-1440	14236	-11	17	-20	-14760	2696	-6496	3	0	-10	200	248	16912	-5	-14	25	-7568	336	15160	86	-28	-142	-14944	3064	-6696	15	-1	10	-224	1984	17096	21	1	8	126	124	5
-7288	-1412	14172	-12	14	-21	-14800	2752	-6440	2	-5	-8	264	112	17112	0	-14	20	-7696	320	15128	91	-49	-144	-14936	2896	-6808	16	-9	12	-240	1944	16936	23	0	12	126	125	5
-7276	-1444	14208	-12	14	-17	-14776	2448	-6536	10	-2	-7	0	224	16984	-2	-12	22	-7456	328	14984	109	-49	-98	-14872	2968	-6824	13	-3	13	-352	1944	17128	24	1	6	126	124	5
-7236	-1432	14100	-17	18	-25	-14792	2560	-6680	11	-7	-5	168	24	16944	-2	-10	20	-7464	312	15232	109	2	-110	-14960	2968	-6696	11	-3	15	-384	1896	16912	23	0	10	126	124	5
-7288	-1432	14256	-16	11	-22	-14800	2584	-6376	1	-4	-6	288	368	16912	6	-13	22	-7464	400	15104	104	7	-132	-14864	2832	-6624	8	-1	15	-104	1960	16936	22	2	9	126	124	5
-7272	-1420	14224	-13	14	-21	-14760	2720	-6224	-4	-6	-3	8	160	16888	10	-7	18	-7464	256	15056	126	-47	-110	-14960	2992	-6920	9	1	16	-256	2008	17056	21	2	7	126	125	5
-7244	-1448	14212	-16	17	-20	-14808	2696	-6464	-4	-4	-5	112	272	16928	17	-11	20	-7392	256	15248	145	-27	-96	-14832	2968	-6776	11	-12	15	-288	1944	16944	21	1	5	126	125	5
-7288	-1408	14216	-14	16	-19	-14744	2608	-6304	-11	-4	-8	256	224	17072	4	-11	20	-7456	392	15032	116	25	-117	-14984	2984	-6592	12	-4	22	-312	2080	17048	26	1	1	126	124	5
