#Activity	sitting in car 
#ActivityID	12 
#Date 09-19-16-08
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-7972	-3564	13596	47	-5	5	-16536	-5072	-88	11	-12	-7	2600	-5400	16680	23	-33	-26	-5960	6200	15192	0	36	-19	-15024	8632	-1232	16	5	6	-176	3032	17216	13	-59	30	121	136	12
-7884	-5172	13276	-6	-14	-43	-15080	-4592	448	-40	-7	33	3376	-4440	15616	48	2	4	-5240	5504	13336	1	57	-32	-14160	7472	-912	89	-27	10	520	2784	16040	-4	-39	7	118	138	12
-8360	-4696	12468	6	17	-25	-14176	-5232	264	-49	5	1	3016	-4400	15416	29	26	26	-5960	6696	13536	30	27	-20	-13160	8216	-576	123	-21	22	752	2544	16080	8	13	0	118	140	12
-7268	-6768	13288	11	-12	-33	-14808	-6176	544	-18	23	-4	2568	-4760	15920	25	37	28	-5984	4752	13352	-8	21	-42	-14392	9216	-1264	-17	10	42	-792	3024	16568	13	36	5	120	134	12
-8020	-6156	13120	62	1	3	-15904	-5400	-664	138	20	-31	2528	-5176	16352	7	15	4	-6776	6960	16480	-33	-35	-27	-15104	9208	-872	9	40	40	-1032	3264	17576	34	0	19	122	133	12
-6464	-5432	13264	16	-15	-15	-16704	-5200	360	-14	-16	-2	2136	-4896	16080	10	-5	-9	-6184	5192	15136	-47	-51	-13	-14576	8144	-1736	-61	6	18	-512	2968	15728	11	-28	23	121	137	12
-8164	-4204	13580	2	-24	-35	-14576	-4080	0	31	6	30	2760	-4752	15632	57	10	-8	-5152	6304	12424	50	56	-27	-12568	8032	-1920	67	-29	36	272	2232	15272	8	-33	10	120	138	12
-7812	-7788	14444	6	-35	-62	-14496	-4928	-376	-60	0	55	2856	-4512	15600	87	34	25	-4432	4000	12528	-44	-22	-27	-14088	8056	-256	82	-14	46	-184	3032	15632	37	29	5	119	137	12
-8456	-6196	11700	46	44	3	-15048	-5776	-168	-29	-51	-17	2256	-4584	15912	46	17	2	-7600	5800	15088	-12	-15	-21	-14384	9112	-1936	-17	9	41	-752	3016	17072	34	-8	-4	120	136	12
-7316	-4132	14068	39	-56	-14	-15464	-6096	208	46	12	18	2640	-5208	16432	40	-1	-23	-6680	4920	15112	-13	3	-30	-15904	9160	-1584	2	1	34	-1080	3496	18376	14	-40	7	120	134	12
-8388	-6344	13836	35	-20	-10	-16872	-5104	-240	140	-5	-6	2720	-4944	16888	28	-32	-30	-6216	5528	15360	23	-23	-1	-15736	8824	-1144	7	-19	36	-488	3128	17776	6	-72	1	119	138	12
-7800	-5244	13672	38	-10	-5	-16712	-4680	56	-53	-36	5	2696	-4856	16648	10	-39	-32	-6216	5528	15504	27	25	-12	-14648	8464	-1016	69	-42	27	312	3120	16768	5	-61	-15	119	138	12
-8064	-5812	12948	-35	-24	-58	-15360	-5288	880	-31	-18	29	3040	-4392	15856	23	-13	4	-5272	4424	13880	20	52	-29	-13856	7784	-1576	-3	-37	31	552	3160	16080	15	-17	-15	118	135	12
-8432	-6072	12916	-4	-4	-46	-13736	-5456	168	-68	17	-3	3136	-4648	15584	20	18	20	-5192	6272	13200	61	26	-15	-13768	8608	-976	50	-32	25	424	2792	16056	28	9	-6	121	135	12
-8708	-5324	13712	24	-29	-18	-14856	-5448	-72	50	21	-4	2400	-4864	15896	27	24	17	-5848	6008	13424	-10	39	-51	-13560	9344	-1096	-8	-2	47	-520	3072	16120	41	16	19	122	134	12
-9672	-8392	13348	31	-22	-22	-16040	-5240	-696	100	22	-5	2128	-4840	16504	21	-9	1	-5800	5184	13888	-41	-2	-53	-14744	9408	-1856	-118	39	32	-1032	3352	17136	37	-17	33	122	135	12
-8292	-6220	14268	53	-15	-16	-15256	-4760	-448	-46	1	-6	2528	-4824	16256	39	-4	-1	-4504	4320	12880	-10	22	-42	-14840	8296	-1168	-13	11	14	-792	3184	16576	10	-31	34	120	138	12
-8376	-5628	12936	-2	16	-31	-14664	-4176	-536	19	-15	15	2880	-4272	15624	59	20	5	-6328	6104	13472	36	-5	-17	-13920	8184	-1760	66	-8	16	-104	2856	16192	-14	-29	17	118	135	12
-6680	-5864	12320	27	14	-10	-14808	-4752	56	-51	-17	7	2864	-4248	15168	43	38	25	-6256	6008	14096	20	1	-13	-13344	8216	-880	178	-16	23	-112	2968	16096	12	5	-1	120	136	12
-7556	-5244	12108	-6	3	-9	-15160	-5272	240	15	-7	-1	1992	-4184	15984	26	15	5	-6712	6384	14352	-12	17	-31	-14168	9016	-1808	-31	4	39	-688	3200	16536	12	4	-7	120	136	12
-7988	-6968	14228	35	-54	-32	-15464	-5400	40	14	27	-8	2280	-4648	15976	23	1	-3	-5168	5224	13480	1	24	-46	-15240	8536	-1552	-47	-6	22	-912	3312	17128	10	-16	5	120	137	12
-9044	-4392	13648	14	14	-15	-15888	-4296	-760	69	0	-14	2160	-4368	16400	11	-22	-18	-5440	5544	14872	-13	-8	-25	-14480	8752	-1536	9	2	27	-288	3304	16912	10	-51	11	119	136	12
-7276	-5332	13600	-14	-10	-30	-15672	-5120	272	-63	-12	1	2696	-4512	16536	15	-10	0	-5848	6776	13472	13	42	-31	-14760	8344	-1440	12	-31	-4	-264	3136	16088	-19	-27	4	117	137	12
-8676	-4676	13632	-11	-4	-39	-14552	-4824	272	-7	6	-18	3152	-4232	15552	13	15	15	-5960	5696	12696	-17	31	-23	-13728	8736	-1328	60	-27	23	88	3160	16384	-16	-24	-13	117	140	12
-8740	-5736	13132	25	13	-21	-15080	-5136	0	10	-1	-5	2880	-4552	15728	12	10	17	-5616	4456	14328	-25	-17	-22	-14008	9344	-488	116	10	26	-88	3352	16792	10	4	2	120	134	12
-6952	-3632	13788	44	-15	6	-16144	-5864	672	-7	9	-17	2368	-5080	16920	20	-9	0	-6256	5416	14656	-45	34	-43	-14712	9520	-1360	-41	9	25	-1016	3256	17328	13	-4	13	121	135	12
-9048	-5808	14008	2	-28	-21	-16456	-5464	-336	77	18	-10	2648	-4808	16912	17	-21	-15	-5200	6072	14312	-49	20	-43	-15584	9056	-1760	-145	23	14	-560	3368	17568	5	-34	17	120	136	12
-8384	-6132	13940	-32	0	-53	-16480	-5544	-48	58	7	-11	2944	-4216	15960	17	1	-5	-5400	3648	12896	3	36	-31	-14816	7952	-1056	56	-17	-14	-208	3368	16112	-23	-44	17	117	138	12
-7400	-6824	13420	-27	2	-53	-13896	-4456	-80	-33	-4	-12	3088	-4672	15352	12	34	19	-5600	5304	12984	4	35	-19	-12816	8568	-1352	156	-16	-11	760	2448	15488	-11	-8	6	118	138	12
-7316	-6624	13008	3	-8	-32	-14568	-5336	-264	21	21	7	2608	-4600	15952	14	34	29	-6088	3464	13352	-27	19	-39	-13288	8888	-848	98	2	15	-256	2856	16440	8	33	7	120	138	12
-8156	-7300	13824	39	-24	-5	-16432	-5864	-32	34	-5	-37	1560	-5024	17048	5	-2	-1	-5944	4648	15096	-97	-29	-41	-15392	9912	-1416	-94	25	38	-1672	3144	17696	17	14	23	121	134	12
-7160	-5164	13688	6	-12	-15	-16144	-5200	-352	20	-14	-22	2200	-4992	16496	1	-25	-18	-5528	5680	14416	-83	-25	-41	-15608	8248	-2192	-105	32	-14	-1488	3120	16616	12	-54	49	119	134	12
-7500	-4460	12244	-22	2	-34	-14568	-3976	-232	5	-13	2	2920	-4576	14928	14	-12	3	-5400	5048	14560	42	25	-10	-13136	7264	-872	140	-15	-25	448	2416	16088	10	-68	42	118	139	12
-7000	-6788	12704	-11	-33	-35	-14624	-5256	984	-94	-28	13	2616	-4720	15976	47	6	32	-5184	7248	13232	1	46	-27	-13416	8832	-1832	-17	-49	34	120	1952	16104	14	0	11	120	139	12
-9484	-5864	14348	38	-67	-21	-15496	-5912	-384	44	14	-15	2352	-5024	16560	35	-8	16	-4920	6304	13504	-42	-2	-31	-14848	8728	-1360	-35	5	67	-664	2816	16944	28	-3	-2	121	135	12
-8424	-5840	14428	34	-19	-26	-16208	-5392	192	39	-12	-8	2216	-5168	16672	17	-35	-17	-5904	4352	14456	-12	0	-39	-15688	9200	-1440	-82	-10	37	-1040	3392	17344	25	-44	3	122	133	12
-7668	-4252	13276	0	-4	-28	-15240	-4976	-320	29	-21	9	3312	-4688	16072	31	-26	-21	-6712	3504	14408	46	8	-12	-14520	8352	-1384	8	-22	26	-56	3176	16544	23	-66	9	120	137	12
-7456	-6484	12852	19	-9	-19	-14840	-4656	520	-33	-27	18	3224	-4384	15720	30	-1	0	-5408	7280	14208	64	-4	6	-13552	8528	-1456	74	-44	34	648	2760	15752	18	-39	2	119	140	12
-8548	-5568	12700	26	-19	-20	-15160	-4864	-48	31	6	22	2528	-4536	16040	42	11	5	-5088	5752	13320	26	23	-9	-12696	8424	-960	76	7	54	488	3232	15568	37	10	-10	121	137	12
-8056	-5964	13636	34	-30	-17	-15104	-5232	368	-44	1	43	2824	-4576	15560	44	16	10	-5776	5448	12048	-4	42	-33	-13800	8816	-1680	-50	2	52	-560	3272	15784	44	36	4	121	134	12
-9316	-4768	13384	53	-1	2	-14592	-4776	-624	60	9	21	2488	-4528	15840	46	18	-13	-6032	6384	12896	-14	16	-14	-13936	9056	-1952	-45	34	54	-936	3256	16168	44	-6	26	122	134	12
-7376	-4228	13844	62	-14	-1	-15000	-4464	-968	32	13	47	2536	-4336	16072	56	20	-11	-5728	5760	14600	-42	-38	-9	-14760	9168	-448	136	9	27	-824	3624	17248	36	-12	32	120	137	12
-7968	-6040	11796	45	19	24	-16712	-5128	144	12	-58	-15	1632	-4224	16600	39	-16	-3	-7712	5096	14936	-53	18	-19	-15024	8952	-2664	-111	23	33	-1264	3216	17248	6	-47	31	117	138	12
-8016	-3884	13108	33	-29	6	-15560	-5160	-608	-24	0	-5	2328	-4408	16616	34	-23	-6	-5784	5960	16312	-15	2	-13	-15344	8528	-1448	88	-16	9	-160	3200	17912	-9	-66	21	119	138	12
-8620	-4844	14872	-6	-58	-33	-16536	-5592	1088	-10	-19	-9	2184	-4544	17168	35	-28	9	-5568	5456	14864	6	47	-45	-15680	8968	-1544	-68	-56	42	-320	3168	17296	-18	-25	-5	119	136	12
-9192	-4716	14012	13	-15	-12	-15680	-4904	-336	5	2	-18	3168	-4704	15928	22	-22	13	-5512	5296	13816	68	34	1	-14200	8584	-1104	58	-24	17	504	3072	16312	13	-17	-8	121	140	12
-7700	-4540	12960	-22	4	-28	-14832	-4368	880	-56	-15	25	3456	-4760	15608	25	5	31	-6664	7136	13720	81	71	-16	-12904	8936	-712	45	-12	29	376	2968	15600	50	15	19	122	136	12
-8220	-5852	13076	-24	-25	-28	-15080	-5288	232	-3	4	13	2808	-4920	16376	49	14	43	-6240	6944	13288	-27	22	-30	-14008	9200	-1832	-83	14	58	-336	3256	16376	65	20	35	121	135	12
-9260	-5832	14228	31	-25	-13	-15976	-5928	-432	0	15	-4	1976	-4784	16776	30	-2	18	-6480	4992	13608	-43	9	-36	-15352	9424	-1688	-74	37	51	-1336	3664	17504	44	-22	33	120	138	12
-9300	-6048	14184	30	-3	-7	-16504	-4880	-1088	80	16	12	2136	-4904	16592	35	-16	-11	-6448	4416	14800	-46	-13	-12	-15296	8824	-1584	14	25	43	-1144	3752	17176	18	-62	27	119	135	12
-7360	-6072	13308	48	-2	4	-15344	-4480	-8	-33	-26	30	2360	-4728	15752	53	4	-16	-6432	5560	14008	9	60	-27	-14048	8184	-1664	60	-22	19	-384	3280	16032	-4	-41	-2	119	138	12
-8540	-4280	12484	15	-15	-5	-14104	-4744	-216	-8	-7	39	2744	-3896	15736	55	13	2	-6752	4664	14296	18	7	-11	-13272	8944	-1848	92	-40	34	-288	3008	16512	1	-9	-8	120	137	12
-8776	-5648	13348	31	-40	0	-15432	-5344	80	-28	-10	10	1544	-4496	16944	49	4	3	-6336	4776	14472	10	13	-36	-14448	9424	-1760	-49	-18	55	-1280	3160	17120	29	17	7	123	135	12
-8508	-5224	14840	35	-72	-13	-16816	-5184	-448	60	2	-6	1824	-4712	17360	31	-32	-17	-5864	5200	14184	-21	4	-28	-15512	9288	-1432	-95	-6	41	-1480	3576	17176	43	-32	23	123	135	12
-9064	-5848	14292	10	-19	-31	-15944	-4144	-312	29	-30	12	2736	-4152	16192	29	-26	-19	-5160	5064	13288	60	20	-3	-14304	8520	-1432	-38	-17	17	-352	3272	16128	40	-55	34	122	135	12
-8120	-3876	12564	-33	-1	-31	-14680	-3616	24	-67	-49	33	2848	-4024	15544	35	4	14	-6472	6064	13720	73	31	-7	-12696	7920	-1456	66	-41	37	568	3312	15232	36	-34	23	119	136	12
-7796	-6192	12452	-19	-38	-37	-14224	-4712	592	-69	-13	12	2904	-4104	15368	38	18	40	-5864	7608	13232	28	32	-15	-12944	8544	-1328	55	-41	42	200	3256	15936	27	6	2	117	138	12
-9848	-5796	13960	-8	-55	-30	-15944	-5928	-392	29	11	-18	1560	-4312	17008	22	-14	13	-6560	5776	14256	-87	-12	-30	-15384	10184	-1648	-105	-1	69	-1392	3776	18176	14	-17	3	117	136	12
-9604	-8496	14204	46	-38	-10	-17256	-5472	-888	94	14	-33	2112	-4552	17616	2	-51	-12	-5216	6488	15968	-53	-28	-9	-16608	9672	-1384	-55	17	26	-1592	4104	18544	-13	-78	13	118	134	12
-8460	-4544	14116	6	-17	-18	-16552	-4200	16	19	-16	-15	2488	-4440	16688	13	-51	-19	-6576	5400	13864	25	51	-16	-14960	8976	-2032	-62	-30	0	-368	3496	16848	-42	-106	3	117	137	12
-8208	-4804	13128	18	-9	-16	-14648	-3416	-544	-12	-7	3	3608	-4384	15288	32	-11	26	-5392	6496	12960	96	43	12	-12064	8232	-1088	197	-39	7	1112	2872	15368	-7	-31	1	121	136	12
-8220	-3244	13508	-26	-23	-12	-15144	-4608	536	-119	-25	26	2368	-4336	15792	56	8	55	-6832	6072	12536	-2	42	-17	-12416	9240	-1088	62	-14	47	-224	2984	15608	36	54	7	123	136	12
-9132	-6132	13248	-5	-16	-24	-15464	-5976	-536	0	-7	-2	1864	-4520	16512	49	1	30	-6512	6640	13760	-63	-26	-24	-14296	9568	-1952	-96	40	52	-1560	3800	17064	70	31	36	124	133	12
-9096	-6200	13364	13	-7	-13	-15896	-5416	-824	35	10	-10	1936	-4312	16880	20	-4	-4	-6848	4672	14976	-105	-20	-38	-16328	9880	-2240	-108	49	19	-2232	4240	18264	25	-45	62	120	136	12
-9328	-7308	13932	37	-44	-20	-16256	-4696	-504	59	4	-18	2232	-4128	17064	9	-19	-13	-5320	6016	15744	-26	9	-29	-15976	9080	-1800	2	-8	-9	-1128	3720	18072	-24	-93	48	118	138	12
-8372	-3708	13936	-4	-30	-17	-16496	-4088	224	-15	-24	-19	2216	-4152	16312	9	-9	-2	-6424	5080	13480	21	51	-11	-13944	8304	-1584	64	-60	-1	56	3008	16312	-49	-60	3	117	138	12
-9216	-5620	13176	-23	-17	-33	-14768	-4352	-72	-52	-8	7	2872	-3864	16048	0	-2	11	-6248	5728	13424	26	16	-9	-12888	8672	-1456	89	-39	8	264	2920	16144	-12	11	-14	119	136	12
-8008	-5276	13524	-4	-24	-21	-14904	-5104	272	-71	-13	-4	2760	-4104	15792	8	1	21	-6144	6984	13120	5	10	-12	-13576	9400	-848	28	-13	27	-680	3248	15912	24	53	9	122	134	12
-8624	-4404	12840	-1	11	-13	-15712	-4848	-376	75	-9	-29	2344	-4424	16040	1	8	10	-6944	5008	14224	-33	-1	-8	-13968	9488	-1640	-52	32	29	-1360	3632	16744	41	1	40	123	134	12
-8332	-6428	12916	13	1	-11	-15560	-4560	-424	1	-2	-6	2384	-4064	16168	5	-6	12	-6080	4744	13448	-27	22	-26	-14224	8768	-1752	-72	33	-8	-936	3640	16312	28	-35	58	121	136	12
-8216	-5116	13436	45	-28	-2	-15048	-4456	-344	-32	3	-13	2296	-4416	15952	24	2	16	-4712	7048	12480	-33	17	-16	-13568	8640	-1320	59	-16	7	-376	3136	15440	-6	-45	33	118	140	12
-8240	-5100	13056	10	3	-11	-14936	-4488	-280	5	-3	2	2128	-4080	15840	35	11	18	-5592	5568	13408	-15	16	-25	-13120	8552	-1608	75	-16	16	40	2864	16088	-26	-24	12	119	138	12
-8068	-4960	13632	-5	-30	-21	-15288	-5136	-264	-38	-6	-4	2160	-4256	16544	41	-6	11	-6392	7200	14408	-86	3	-28	-14728	9616	-1448	-17	-6	32	-952	3496	17512	-27	-11	5	119	135	12
-9044	-7412	14144	-5	-34	-41	-16320	-5456	-368	44	-7	-37	2376	-4192	16680	5	-29	5	-4616	5520	14888	-33	-9	-16	-16176	9080	-1048	-81	10	3	-1240	3832	17648	-11	-32	15	118	134	12
-8396	-3288	13128	-18	15	-3	-15712	-4248	272	-4	-25	-43	2632	-4448	16120	-6	-24	1	-6832	5232	14080	-5	66	-24	-14008	8816	-1528	-28	-9	-21	32	3272	16312	-5	-60	26	119	137	12
