#Activity	standing 
#ActivityID	8 
#Date 09-23-18-01
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8076	-2008	13712	-7	35	-10	-16184	2072	-1488	39	24	39	-16152	1000	-2384	20	1	46	-8560	472	14680	193	284	-206	-16400	-48	-2520	27	32	48	-15744	-1760	-2688	157	39	38	126	125	8
-8052	-2048	13648	-4	50	-9	-16240	1808	-1816	49	37	43	-16056	632	-2728	108	38	76	-8552	568	14368	187	246	-185	-16456	136	-2544	70	24	50	-15816	-1608	-3080	193	24	42	126	124	8
-8124	-2160	13584	-5	62	1	-16200	1992	-2232	29	47	46	-16224	984	-3384	11	13	111	-8536	552	14392	223	247	-152	-16464	368	-2600	63	-5	54	-15928	-1200	-3040	206	19	73	127	124	8
-8128	-2140	13480	2	58	5	-16008	1848	-2496	27	44	42	-15664	1568	-3984	-83	-23	123	-8464	464	14480	183	138	-130	-16144	416	-2504	74	-10	50	-15624	-856	-2624	203	36	96	127	124	8
-8192	-1844	13684	5	38	5	-15184	2104	-2600	-22	45	42	-14744	1800	-4176	-64	-26	110	-8624	584	14360	157	15	-125	-16312	520	-2304	88	-17	45	-15680	-712	-2592	161	50	85	127	124	8
-8336	-1852	13684	5	2	-3	-15488	1872	-2576	-21	41	41	-14744	1624	-4088	57	12	98	-8416	592	14456	144	-84	-115	-16376	472	-2432	36	-21	40	-16008	-376	-2272	57	61	80	127	124	8
-8280	-1832	13716	4	-28	-20	-15408	2232	-2720	-13	35	40	-15080	1368	-3512	140	79	77	-8584	648	14664	114	-130	-76	-16600	152	-1928	35	0	28	-16080	528	-1656	-59	63	35	128	124	8
-8220	-1868	13672	-3	-35	-30	-16120	2248	-2136	12	29	43	-15968	1808	-3008	175	108	67	-8424	552	14528	106	-72	-39	-16776	400	-1632	36	16	26	-16456	760	-1160	-134	90	-29	127	124	8
-8036	-2016	13704	-2	-22	-35	-16624	2184	-1608	48	35	36	-16672	2112	-2648	196	126	88	-8328	552	14400	78	43	-76	-16728	800	-1624	-24	37	19	-16672	664	-1280	-132	96	-65	127	124	8
-7928	-2080	13748	-1	12	-29	-16376	2232	-1680	62	50	24	-16552	2360	-2536	172	96	117	-8416	776	14680	57	207	-192	-16912	496	-1440	-92	58	4	-16600	-384	-1744	-66	54	-63	127	124	8
-8096	-2088	13716	-10	43	-16	-16392	1880	-1824	60	70	23	-16472	2624	-2976	41	73	72	-8488	544	14456	45	295	-298	-16720	168	-1888	-72	73	-4	-16208	-1320	-2328	-2	23	-41	127	125	8
-8212	-2096	13608	-3	61	-5	-16056	2096	-2336	67	81	19	-16160	2256	-3512	-102	48	35	-8576	552	14496	48	264	-322	-16416	264	-2352	-12	79	-7	-15720	-1960	-2752	54	13	-18	127	125	8
-8172	-2080	13592	-4	62	6	-15848	2224	-2368	5	81	25	-15560	2208	-4200	-186	3	9	-8520	568	14560	73	190	-305	-16168	312	-2624	7	74	-4	-15480	-1848	-3152	84	27	23	128	124	8
-8340	-1944	13704	1	47	8	-15376	2184	-2912	-64	85	14	-14960	2360	-4688	-197	-14	-21	-8512	424	14360	67	131	-251	-16176	160	-2880	16	66	-6	-15536	-1656	-3320	101	35	21	127	123	8
-8232	-1920	13568	-5	28	2	-15544	2088	-2904	-68	72	2	-15032	2336	-4704	-206	-12	-25	-8408	440	14472	116	31	-156	-16296	168	-2936	26	47	-9	-15896	-1120	-2944	118	63	13	127	123	8
-8244	-1828	13736	-3	8	-9	-15848	2520	-3008	-37	41	-3	-15344	1744	-4624	-129	41	-31	-8576	592	14456	94	4	-140	-16416	288	-2504	14	29	-1	-15976	-1056	-2672	106	104	14	127	123	8
-8312	-1768	13528	-16	0	-23	-15864	2520	-3056	-13	22	0	-15544	1672	-4320	-56	87	-26	-8520	576	14568	94	-83	-160	-16328	136	-2352	18	21	1	-16128	-816	-2584	34	98	7	127	124	8
-8192	-1968	13676	-13	-4	-37	-15904	2560	-2648	-17	9	-12	-15792	1416	-4264	26	105	1	-8592	616	14488	97	-107	-187	-16248	88	-2256	47	23	8	-16064	-448	-2536	-14	63	-28	127	124	8
-8220	-1972	13724	-15	-7	-40	-15728	2200	-2360	10	8	-30	-15944	1072	-4088	86	70	42	-8480	640	14448	60	-149	-154	-16576	224	-2288	48	34	16	-16192	-520	-2888	-52	25	-56	127	124	8
-8228	-2040	13628	-17	1	-34	-16008	2096	-2304	9	7	-24	-15960	856	-3736	93	3	48	-8472	592	14504	56	-122	-142	-16648	536	-2416	-21	26	9	-16312	-488	-3144	-85	-8	-60	127	124	8
