time,angle1,angle2,intgangle,accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1,accX2,accY2,accZ2,gyroX2,gyroY2,gyroZ2
523.969,88.7798,1.33959,0,9.57768,0.110171,-1.86572,-0.396341,0.27439,-1.34146,-9.87227,-0.502954,0.198787,-15.4573,-3.5061,6.34146
523.978,88.7803,1.34247,0,9.53457,0.131726,-1.86333,-0.27439,0.548781,-1.34146,-9.86509,-0.469424,0.239502,-16.0976,-3.81098,6.85976
523.988,88.7736,1.35908,0,9.55852,0.131726,-1.87291,-0.182927,0.487805,-1.85976,-9.82677,-0.457449,0.294587,-17.1341,-3.2622,6.82927
523.998,88.7697,1.36192,0,9.59445,0.110171,-1.89925,0.304878,0.731707,-1.92073,-9.84114,-0.459844,0.241897,-18.5366,-2.31707,6.03659
524.009,88.7629,1.3463,0,9.62798,0.122146,-1.89446,0.0609756,0.884146,-2.0122,-9.9058,-0.502954,0.191602,-17.0427,-1.09756,6.15854
524.018,88.7589,1.32303,0,9.61361,0.112566,-1.8753,0.152439,0.914634,-1.92073,-9.96807,-0.526904,0.165256,-18.811,-1.18902,6.21951
524.028,88.7569,1.29409,0,9.58726,0.0838257,-1.88009,0.0609756,1.34146,-2.10366,-9.96807,-0.498164,0.126936,-17.9268,-1.89024,5.30488
524.039,88.7573,1.28316,0,9.58487,0.0886157,-1.88488,0.0609756,1.58537,-1.89024,-9.98244,-0.517324,0.177231,-17.0122,-3.32317,5.85366
524.049,88.7562,1.28495,0,9.54894,0.0981958,-1.825,0.213415,1.25,-1.89024,-9.91778,-0.471819,0.225132,-17.9573,-5.57927,6.40244
524.058,88.7522,1.29786,0,9.54655,0.114961,-1.79387,0.121951,1.09756,-1.92073,-9.90101,-0.488584,0.273032,-17.8049,-6.06707,5.64024
524.068,88.7417,1.30717,0,9.52739,0.119751,-1.84656,0.0914634,0.792683,-2.37805,-9.86269,-0.455054,0.258662,-16.9207,-6.0061,6.40244
524.078,88.7198,1.30209,0,9.52499,0.239502,-1.89686,0.121951,1.28049,-1.7378,-9.88425,-0.447869,0.198787,-17.3476,-5.57927,6.40244
524.088,88.7171,1.30447,0,9.60163,0.0670605,-1.79866,0.609756,-0.365854,-2.40854,-9.85311,-0.493374,0.229922,-17.0732,-5,5.82317
524.098,88.7037,1.31122,0,9.78366,0.217947,-2.01421,1.0061,2.16463,-1.40244,-9.8603,-0.486189,0.249082,-17.6829,-5.30488,4.66463
524.109,88.6994,1.32763,0,9.5681,0.196392,-1.83219,0.945122,1.61585,-0.914634,-9.86988,-0.488584,0.292192,-17.7744,-5.18293,4.72561
524.124,88.7158,1.34664,0,9.55613,0.0407153,-1.78189,0.243902,-0.243902,-1.52439,-9.9082,-0.481399,0.306563,-17.6829,-7.0122,4.60366
524.13,88.7249,1.35452,0,9.51781,0.0742456,-1.79626,0.304878,-0.121951,-1.58537,-9.91059,-0.459844,0.261057,-16.1585,-7.37805,4.63415
524.138,88.7187,1.35006,0,9.51541,0.134121,-1.79626,-0.335366,-0.701219,-1.92073,-9.90341,-0.514929,0.208367,-16.1585,-7.43902,4.84756
524.149,88.7129,1.36099,0,9.5226,0.126936,-1.88249,-0.243902,0.579268,-1.98171,-9.89862,-0.507744,0.275427,-17.378,-6.31098,5.54878
524.158,88.705,1.3599,0,9.59445,0.146096,-1.88009,0.0304878,0.548781,-1.92073,-9.88425,-0.512534,0.225132,-16.8902,-5.82317,5.88415
524.169,88.7122,1.35988,0,9.62558,0.100591,-1.81542,0.640244,0.518293,-1.40244,-9.89383,-0.529299,0.229922,-18.5366,-5.67073,5.15244
524.178,88.7133,1.34904,0,9.62079,0.138911,-1.83458,0.426829,-0.152439,-1.34146,-9.89143,-0.495769,0.182021,-17.561,-6.61585,5.36585
524.188,88.7151,1.34407,0,9.59684,0.119751,-1.83219,-0.121951,-0.426829,-1.52439,-9.90341,-0.505349,0.205972,-16.2805,-6.52439,6.12805
524.199,88.7246,1.32887,0,9.5705,0.122146,-1.80345,-0.0609756,-0.182927,-1.03659,-9.91059,-0.519719,0.160466,-15.6707,-6.76829,6.98171
524.209,88.7317,1.33619,0,9.52978,0.0981958,-1.81542,0.121951,-0.731707,-1.43293,-9.93694,-0.543669,0.256267,-15.1829,-7.31707,5.94512
524.218,88.7388,1.33388,0,9.54176,0.0910107,-1.82979,0,-0.609756,-1.4939,-9.93694,-0.529299,0.215552,-14.9695,-7.10366,5.85366
524.228,88.7478,1.33323,0,9.58247,0.0646655,-1.88967,0.182927,-0.792683,-1.61585,-9.92975,-0.522114,0.222737,-14.6341,-6.58537,5.85366
524.238,88.7535,1.32309,0,9.616,0.110171,-1.91362,0.0914634,-0.792683,-1.31098,-9.92736,-0.514929,0.182021,-14.3293,-5.70122,5.91463
524.249,88.7579,1.32788,0,9.60163,0.100591,-1.86812,-0.182927,-0.762195,-1.4939,-9.87706,-0.514929,0.244292,-15.0305,-5.2439,5.51829
524.258,88.7523,1.31781,0,9.57529,0.136516,-1.82021,-0.182927,-0.731707,-1.76829,-9.88425,-0.536484,0.179626,-13.75,-6.67683,5.06098
524.268,88.7513,1.3038,0,9.58008,0.124541,-1.88249,-0.0304878,-0.579268,-1.58537,-9.87946,-0.510139,0.160466,-12.622,-6.89024,6.34146
524.278,88.7561,1.30737,0,9.54176,0.105381,-1.8777,0,-0.518293,-1.43293,-9.85311,-0.510139,0.234712,-13.811,-5.85366,6.4939
524.289,88.7531,1.31581,0,9.58247,0.107776,-1.83938,0,-0.365854,-1.92073,-9.86748,-0.510139,0.256267,-13.689,-6.4939,6.89024
524.299,88.7551,1.33325,0,9.58487,0.0958008,-1.88967,0.0914634,-0.152439,-1.70732,-9.87467,-0.481399,0.296982,-13.9634,-6.58537,7.07317
524.308,88.7517,1.32898,0,9.58726,0.112566,-1.85854,0.0609756,-0.731707,-1.89024,-9.8603,-0.481399,0.205972,-13.872,-5.91463,6.64634
524.319,88.7525,1.34192,0,9.58726,0.100591,-1.85854,0.0609756,-0.27439,-1.7378,-9.86509,-0.481399,0.280217,-14.9085,-4.96951,6.28049
524.328,88.7564,1.34597,0,9.59445,0.0981958,-1.86333,-0.213415,-0.335366,-1.55488,-9.8555,-0.457449,0.244292,-14.7256,-4.42073,5.60976
524.338,88.7536,1.35317,0,9.58726,0.124541,-1.88728,-0.243902,-0.152439,-1.70732,-9.86988,-0.510139,0.258662,-13.689,-4.87805,5.64024
524.349,88.7563,1.36718,0,9.58008,0.0886157,-1.8777,-0.0609756,-0.213415,-1.7378,-9.92017,-0.493374,0.289797,-15.7012,-3.62805,5.64024
524.358,88.759,1.37608,0,9.58247,0.107776,-1.83698,0.0304878,-0.152439,-1.52439,-9.90341,-0.495769,0.270637,-14.2378,-4.48171,5.85366
524.368,88.7498,1.37028,0,9.56331,0.146096,-1.90404,0.243902,-0.304878,-1.92073,-9.88185,-0.510139,0.208367,-14.3598,-4.81707,5.82317
524.379,88.7401,1.36843,0,9.5681,0.162861,-1.88728,0.0914634,-0.152439,-1.76829,-9.90101,-0.512534,0.225132,-14.3902,-4.42073,6.89024
524.389,88.7341,1.37576,0,9.56092,0.153281,-1.89446,-0.0304878,-0.0914634,-1.61585,-9.87706,-0.488584,0.263452,-13.9329,-4.14634,6.0061
524.398,88.7291,1.38545,0,9.59684,0.141306,-1.87051,-0.0304878,0.213415,-1.70732,-9.90341,-0.502954,0.275427,-14.4817,-4.78659,5.7622
524.408,88.7239,1.38747,0,9.57289,0.148491,-1.83219,0.0914634,0.182927,-1.64634,-9.9058,-0.514929,0.244292,-13.628,-4.66463,6.67683
524.419,88.7273,1.39957,0,9.57529,0.100591,-1.90644,0.335366,0.213415,-1.61585,-9.89143,-0.531694,0.287402,-13.6585,-4.20732,6.43293
524.428,88.7318,1.41534,0,9.5705,0.105381,-1.86093,0.27439,0.152439,-1.4939,-9.92975,-0.510139,0.306563,-14.1159,-5.06098,6.37195
524.438,88.7313,1.4267,0,9.5681,0.119751,-1.87291,0.335366,0.152439,-1.64634,-9.8603,-0.474214,0.287402,-15.122,-6.40244,6.64634
524.449,88.7293,1.42835,0,9.56331,0.150886,-1.86333,0.396341,0.457317,-1.37195,-9.87706,-0.471819,0.249082,-15.2744,-4.66463,6.46341
524.458,88.7286,1.42715,0,9.56092,0.134121,-1.8777,0.152439,0.0609756,-1.4939,-9.88904,-0.500559,0.237107,-14.9695,-5.06098,6.40244
524.468,88.7291,1.42608,0,9.57289,0.117356,-1.83219,0,0.457317,-1.61585,-9.87946,-0.459844,0.237107,-16.9817,-5.15244,5.97561
524.478,88.7363,1.42716,0,9.58247,0.117356,-1.8274,0.27439,0.518293,-1.18902,-9.89143,-0.457449,0.246687,-15.7012,-4.93902,5.88415
524.489,88.7373,1.43443,0,9.57529,0.112566,-1.86572,0.152439,0.518293,-1.61585,-9.89143,-0.479004,0.273032,-15.5488,-5.79268,6.0061
524.498,88.7402,1.43496,0,9.59684,0.114961,-1.85854,-0.213415,0.396341,-1.46341,-9.92257,-0.450264,0.246687,-15.7622,-4.69512,6.09756
524.508,88.7532,1.42925,0,9.59445,0.0598755,-1.90404,-0.0914634,0.396341,-1.43293,-9.92975,-0.483794,0.220342,-14.5122,-4.5122,5.94512
524.519,88.7591,1.43258,0,9.55852,0.0958008,-1.88728,-0.0914634,0.609756,-1.46341,-9.86988,-0.498164,0.256267,-15.4573,-5.09146,4.87805
524.528,88.7579,1.43838,0,9.5705,0.141306,-1.88728,-0.0609756,0.548781,-1.37195,-9.91778,-0.476609,0.268242,-15,-5.82317,5
524.539,88.76,1.43337,0,9.55852,0.124541,-1.83458,-0.0914634,0.27439,-1.37195,-9.91059,-0.476609,0.222737,-13.7805,-5.21341,5
524.549,88.7567,1.44357,0,9.57289,0.134121,-1.9232,-0.0609756,0.548781,-1.61585,-9.91299,-0.490979,0.287402,-14.6341,-5.82317,4.87805
