time,angle1,angle2,intgangle,accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1,accX2,accY2,accZ2,gyroX2,gyroY2,gyroZ2
713.662,3.52811,-4.16125,0,0.56283,9.71899,-1.57113,0.457317,0.426829,1.61585,-39.743,-3.32908,-3.35782,-20.6707,10.5488,15.061
713.672,3.54503,-4.23122,0,0.57241,9.64235,-1.54479,0.335366,0.548781,2.07317,-40.2794,-3.87514,-4.15296,-17.5915,8.35366,16.4024
713.682,3.55986,-4.34647,0,0.608335,9.61121,-1.51605,0.396341,-0.121951,1.28049,-40.3848,-3.91346,-5.03433,-12.4085,7.2561,15.2134
713.692,3.56492,-4.48616,0,0.56762,9.7142,-1.54718,0.609756,-0.213415,1.21951,-39.7813,-3.69312,-5.47501,-7.59146,7.62195,16.5549
713.702,3.5679,-4.6153,0,0.543669,9.64953,-1.57353,0.182927,-0.548781,1.37195,-39.4076,-3.80808,-5.33131,-2.71341,8.62805,16.8902
713.712,3.54621,-4.74221,0,0.457449,9.63037,-1.53042,-0.670732,-1.37195,0.945122,-39.2352,-3.28118,-5.36005,2.62195,8.2622,17.8354
713.722,3.50927,-4.8409,0,0.443079,9.67827,-1.42983,-0.945122,-2.80488,0.487805,-39.149,-2.87881,-4.93853,6.28049,9.02439,18.9329
713.732,3.48648,-4.91325,0,0.469424,9.6663,-1.3963,-0.884146,-4.39024,0.701219,-39.3502,-2.56267,-4.56491,7.59146,10.2744,18.8415
713.742,3.48927,-4.97985,0,0.546064,9.68067,-1.44899,-1.43293,-5.27439,1.15854,-39.3119,-2.21779,-4.51701,11.25,8.14024,16.7988
713.752,3.50302,-5.04082,0,0.60594,9.63995,-1.40588,-1.46341,-5.97561,1.03659,-38.9861,-1.97829,-4.43079,11.6159,7.19512,15.5488
713.762,3.53584,-5.08951,0,0.704136,9.6639,-1.47773,-1.34146,-6.06707,0.945122,-38.8041,-1.86333,-4.23918,12.7744,7.22561,13.9329
713.772,3.57649,-5.13953,0,0.744851,9.62558,-1.50647,-1.12805,-5.91463,1.12805,-38.488,-1.825,-4.25834,12.8354,7.92683,12.2561
713.782,3.63368,-5.21634,0,0.821492,9.64235,-1.53042,-0.670732,-6.03659,0.792683,-38.4592,-1.71962,-4.74693,13.8415,8.62805,9.90854
713.792,3.69232,-5.25614,0,0.876577,9.70941,-1.49689,-0.213415,-5.73171,1.34146,-38.6604,-1.95913,-4.1817,13.689,9.69512,10.8232
713.802,3.76583,-5.28104,0,0.993933,9.71899,-1.57113,0.121951,-5.64024,1.79878,-38.7275,-1.71004,-3.95178,12.0732,11.8293,9.93902
713.812,3.85133,-5.30548,0,1.06099,9.69504,-1.59987,0.27439,-5.70122,1.43293,-39.1873,-1.64298,-4.00926,10.7622,11.4329,12.8049
713.822,3.94834,-5.33773,0,1.1544,9.64235,-1.60466,0.243902,-5.67073,1.70732,-39.8196,-1.75794,-4.2296,9.84756,11.4939,14.6951
713.832,4.04342,-5.34567,0,1.19272,9.69025,-1.62143,0.152439,-5.15244,2.31707,-40.2986,-2.01661,-3.86556,7.53049,11.8902,16.4634
713.842,4.14658,-5.36618,0,1.26457,9.70222,-1.58071,0.487805,-4.26829,3.01829,-40.2986,-2.33275,-4.09548,7.43902,12.2561,17.378
713.852,4.24963,-5.38911,0,1.25978,9.65672,-1.59029,0.823171,-2.56098,3.38415,-39.9825,-2.37107,-4.12422,7.19512,11.311,18.5366
713.862,4.36264,-5.42706,0,1.27655,9.53697,-1.55916,1.55488,-0.853659,4.48171,-39.2544,-2.52435,-4.32541,8.23171,12.0122,18.75
713.872,4.4721,-5.44994,0,1.20948,9.47709,-1.48491,2.53049,0.945122,5.15244,-38.6604,-2.52435,-4.02842,10.5488,11.3415,18.2622
713.882,4.57565,-5.48054,0,1.14003,9.41003,-1.51605,3.56707,2.43902,5.54878,-38.4784,-2.62973,-4.15296,12.0122,12.622,18.5671
713.892,4.66729,-5.52164,0,1.04662,9.40524,-1.53042,4.26829,3.78049,5.70122,-38.4113,-2.91713,-4.34457,14.1463,13.2012,16.6768
713.902,4.74434,-5.56258,0,0.958008,9.46991,-1.65975,4.90854,4.48171,5.57927,-38.488,-2.79259,-4.37331,17.2866,14.7561,14.6951
713.912,4.81283,-5.60924,0,0.886157,9.52978,-1.71483,5.42683,4.87805,5.82317,-38.737,-2.91713,-4.51701,20,18.1402,12.4085
713.922,4.84769,-5.666,0,0.656235,9.57529,-1.55197,5.73171,3.47561,5.39634,-38.6412,-2.58183,-4.70861,22.2561,19.1768,11.0976
713.932,4.84399,-5.69747,0,0.349673,9.55373,-1.27894,7.89634,-1.06707,5.30488,-38.6987,-2.42855,-4.30625,24.0549,22.4695,9.72561
713.942,4.85681,-5.73342,0,0.455054,9.79803,-1.36995,8.53659,-4.87805,5.79268,-39.2831,-2.21779,-4.47869,23.9634,20.4268,9.20732
713.952,4.87484,-5.7433,0,0.524509,9.99442,-1.74836,6.0061,-3.44512,5.64024,-39.8867,-2.00703,-4.11464,26.0061,18.8415,8.23171
713.962,4.91678,-5.75303,0,0.732876,9.81,-1.98068,5.30488,-0.518293,5.51829,-40.2411,-1.69088,-4.16254,27.0122,16.8293,7.04268
713.972,4.96191,-5.77855,0,0.792751,9.8076,-2.32077,6.70732,4.78659,5.21341,-40.5956,-1.78668,-4.49785,27.4695,15.1829,9.08537
713.982,5.02319,-5.79111,0,0.866997,9.83395,-2.04535,4.90854,5.64024,6.09756,-40.7393,-1.78668,-4.30625,27.3171,12.4695,9.14634
713.992,5.11382,-5.79663,0,1.06099,9.75731,-1.77471,2.53049,3.87195,6.82927,-40.6435,-1.97829,-4.1817,27.1037,11.372,8.56707
714.002,5.21589,-5.81267,0,1.1544,9.50344,-1.4921,3.59756,2.40854,6.70732,-40.2411,-1.94955,-4.33499,28.2317,10.7317,8.71951
714.012,5.30743,-5.82744,0,1.10889,9.48907,-1.49928,5.45732,4.11585,6.37195,-39.7717,-2.15073,-4.2775,26.2805,9.48171,7.89634
714.022,5.37804,-5.85613,0,0.929268,9.41003,-1.3939,5.82317,5.12195,6.52439,-39.2448,-2.26569,-4.46911,25.6402,11.189,6.92073
714.032,5.42718,-5.88615,0,0.749641,9.35495,-1.52563,7.5,6.40244,6.64634,-38.7179,-2.36149,-4.44995,25.5793,11.6463,6.52439
714.042,5.47837,-5.93527,0,0.706531,9.36692,-1.57592,7.37805,7.89634,7.5,-37.9898,-2.12199,-4.70861,23.7805,12.3476,6.37195
714.052,5.54999,-5.98178,0,0.819097,9.36932,-1.48012,7.62195,7.2561,8.29268,-37.9419,-2.04535,-4.68945,22.8963,12.9573,7.31707
714.062,5.6339,-6.0066,0,0.876577,9.43398,-1.76992,6.37195,5.91463,9.05488,-38.1335,-1.54718,-4.37331,21.0976,13.3537,7.83537
714.072,5.71367,-6.0339,0,0.953218,9.51062,-1.90165,4.14634,2.95732,7.95732,-38.5838,-1.16398,-4.48827,16.9207,12.2866,7.77439
714.082,5.76888,-6.06281,0,0.910107,9.68546,-1.88249,1.95122,-0.823171,6.34146,-38.9286,-0.895737,-4.57449,13.1707,12.5,7.86585
714.092,5.81209,-6.0744,0,0.943638,9.75012,-1.96631,0.213415,-3.5061,4.90854,-39.446,-0.943638,-4.35415,7.83537,11.4329,8.56707
714.102,5.83965,-6.09056,0,1.0083,9.69743,-1.89925,-0.0304878,-4.87805,2.53049,-39.628,-0.838257,-4.46911,6.52439,9.72561,7.19512
714.112,5.85934,-6.11223,0,1.04183,9.60882,-1.95673,0.487805,-3.75,0.213415,-39.8579,-0.981958,-4.61281,3.65854,7.31707,7.07317
714.122,5.83569,-6.13083,0,0.914897,9.61121,-1.95434,0.426829,-3.14024,-0.884146,-39.9825,-1.28852,-4.59365,0.609756,5.60976,6.58537
714.132,5.82546,-6.16337,0,0.977168,9.61361,-1.90644,0.640244,-3.78049,-0.945122,-39.9058,-1.6813,-4.85231,-0.884146,4.02439,6.67683
714.142,5.87453,-6.19264,0,1.12087,9.5705,-1.96152,-0.182927,-5,0.0609756,-39.8867,-2.06451,-4.82357,-1.55488,1.40244,5.39634
714.152,5.96001,-6.22587,0,1.30529,9.43877,-1.79626,-1.09756,-6.09756,0.884146,-39.7334,-2.04535,-4.90021,-4.29878,0.243902,5.27439
714.162,6.0752,-6.2651,0,1.56874,9.41003,-1.83938,-0.579268,-6.06707,1.67683,-39.7238,-2.17947,-5.03433,-5.70122,-1.25,5.54878
714.172,6.19712,-6.30286,0,1.68609,9.4268,-1.91841,0.213415,-5.06098,2.16463,-39.6184,-2.17947,-5.02475,-6.34146,-1.92073,5.12195
714.182,6.31643,-6.32772,0,1.72681,9.49386,-1.94955,0.609756,-3.44512,2.68293,-39.9058,-2.15073,-4.86189,-7.40854,-3.20122,5.64024
714.192,6.41924,-6.37874,0,1.62861,9.5226,-1.99505,0.396341,-0.731707,2.71341,-39.2544,-2.17947,-5.26425,-8.23171,-4.42073,5.7622
714.202,6.49504,-6.41828,0,1.43462,9.50344,-1.86812,0.396341,1.06707,2.7439,-39.331,-2.34233,-5.11097,-8.90244,-5.42683,6.46341
714.212,6.55534,-6.45584,0,1.32684,9.51302,-1.86093,0.335366,1.28049,2.86585,-39.2735,-2.48603,-5.10139,-9.17683,-6.89024,7.5
714.222,6.60636,-6.51463,0,1.26457,9.52499,-1.73878,0.762195,1.89024,2.92683,-38.9382,-2.24653,-5.45585,-9.84756,-7.19512,7.80488
714.232,6.64899,-6.57331,0,1.20709,9.5226,-1.73878,0.762195,1.09756,2.95732,-38.9957,-2.06451,-5.50376,-10.3963,-7.5,7.95732
714.242,6.68682,-6.63131,0,1.14961,9.50583,-1.82261,1.12805,1.70732,3.32317,-38.7083,-1.93997,-5.49417,-10.0305,-8.20122,10.7012
714.252,6.71557,-6.68673,0,1.12805,9.53697,-1.71483,0.762195,0.884146,2.80488,-38.9765,-1.80584,-5.52291,-9.78659,-6.89024,10.7012
714.262,6.73451,-6.75108,0,1.06818,9.52499,-1.69807,0.548781,0.0304878,2.68293,-38.8328,-1.7771,-5.69536,-8.44512,-6.4939,11.1585
714.272,6.74452,-6.80301,0,1.02986,9.61361,-1.7316,0.609756,-1.06707,2.5,-38.8328,-1.81542,-5.52291,-7.77439,-6.43293,12.3171
714.282,6.74959,-6.86623,0,0.984353,9.68067,-1.74836,0.640244,-1.70732,2.68293,-38.967,-2.15073,-5.772,-5.94512,-5.33537,11.128
714.292,6.73905,-6.9202,0,0.950823,9.60642,-1.83938,0.335366,-2.65244,1.85976,-39.3023,-2.44771,-5.69536,-5.7622,-3.29268,9.60366
714.302,6.71666,-6.94282,0,0.965193,9.59445,-1.86812,0.0609756,-4.69512,1.09756,-39.5897,-2.45729,-5.21635,-4.39024,-2.95732,7.04268
714.312,6.68329,-6.97283,0,0.902922,9.60642,-1.80584,-0.426829,-7.37805,1.12805,-40.0591,-2.62015,-5.42711,-5.36585,-2.95732,5.18293
714.322,6.6716,-6.99116,0,1.02028,9.61121,-1.79626,-0.670732,-8.41463,1.0061,-40.0304,-2.62973,-5.23551,-3.32317,-3.17073,2.80488
714.332,6.68075,-6.99328,0,1.12326,9.51781,-1.79147,-0.335366,-5.88415,0.701219,-40.0974,-2.67763,-4.96727,-2.92683,-3.47561,2.13415
714.342,6.72431,-6.97661,0,1.25499,9.54176,-1.95194,-0.0914634,-2.83537,-0.121951,-39.6567,-2.19863,-4.58407,-4.96951,-4.32927,3.35366
714.352,6.76291,-6.95367,0,1.35558,9.53457,-2.08127,-0.731707,-2.19512,-0.945122,-39.4843,-2.01661,-4.44995,-8.01829,-6.61585,5.12195
714.362,6.79341,-6.91429,0,1.45857,9.44835,-2.05253,-1.64634,-2.95732,-2.07317,-39.3502,-1.59508,-4.1338,-12.9878,-7.62195,5.7622
714.372,6.82878,-6.8829,0,1.54479,9.43159,-2.07648,-1.98171,-2.59146,-2.43902,-38.9765,-1.49928,-4.21044,-16.0366,-8.87195,7.04268
714.382,6.85703,-6.85033,0,1.5855,9.39327,-1.85854,-1.61585,-0.914634,-3.23171,-38.7466,-1.67172,-4.15296,-19.2073,-11.6159,7.59146
714.392,6.87221,-6.81407,0,1.52802,9.38608,-1.78429,-0.579268,0.884146,-3.62805,-38.8233,-1.6334,-4.07632,-20.6098,-11.9512,6.70732
714.402,6.87287,-6.7966,0,1.42025,9.41482,-1.80345,-0.243902,3.38415,-3.62805,-38.9957,-1.71962,-4.40205,-23.2622,-13.689,4.96951
714.412,6.85926,-6.77663,0,1.26697,9.39566,-1.73639,0.548781,4.66463,-3.20122,-39.0244,-1.80584,-4.35415,-24.5732,-14.939,4.14634
714.422,6.83992,-6.77526,0,1.2502,9.4747,-1.90404,0.27439,4.78659,-3.41463,-39.1298,-1.84417,-4.67029,-27.8659,-12.9878,2.56098
