time,angle1,angle2,intgangle,accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1,accX2,accY2,accZ2,gyroX2,gyroY2,gyroZ2
735.699,20.2621,-0.20813,0,1.06818,10.7944,-1.59029,32.1341,61.5549,79.0854,-39.2065,-0.550855,-1.97829,-35.7927,-20.0305,23.689
735.709,20.7051,-0.3091,0,1.13284,11.0147,-1.32445,34.2988,72.0427,74.5732,-39.1873,-1.28852,-1.96871,-36.372,-23.872,21.9207
735.719,21.1183,-0.421849,0,1.1041,10.7872,-0.960403,34.1463,79.2988,72.5,-39.0915,-1.70046,-2.24653,-37.0427,-26.8293,19.6646
735.729,21.5674,-0.553448,0,1.60227,9.91059,-0.914897,36.3415,84.7256,70.1829,-38.8807,-1.48012,-2.64889,-38.2927,-30.7927,18.75
735.739,21.9832,-0.692825,0,1.54718,9.12263,-0.692161,39.8171,80.7927,66.7988,-38.7562,-1.73878,-2.87881,-33.8415,-35.3659,19.0854
735.749,22.4228,-0.83325,0,1.95194,8.68674,-1.11129,44.3598,81.8293,63.872,-38.4975,-1.37474,-2.98419,-33.0793,-39.1159,19.6037
735.759,22.8068,-0.965332,0,1.87051,8.38257,-1.21427,47.0122,80.3963,59.2683,-38.8903,-1.19272,-2.98419,-33.8415,-44.2988,21.6463
735.769,23.0739,-1.13132,0,1.42983,8.41131,-1.24062,49.4512,77.7134,54.1159,-38.9095,-0.943638,-3.67396,-32.9878,-47.9268,24.878
735.779,23.2725,-1.31694,0,1.28373,8.43526,-1.44659,52.439,70.6402,49.6951,-38.5646,-1.07776,-4.0859,-29.6037,-46.311,24.4207
735.789,23.3937,-1.54353,0,1.07536,9.09628,-1.71004,47.2866,61.189,46.0976,-38.0952,-1.22146,-4.85231,-26.372,-44.4207,25.5488
735.799,23.4188,-1.76623,0,0.397573,9.41003,-1.70765,38.4756,51.2195,45.3659,-37.8078,-1.49928,-4.89063,-21.6463,-41.0671,20.2439
735.809,23.324,-2.01028,0,-0.320933,9.28549,-1.3939,33.8415,36.8598,42.1646,-37.4725,-2.02619,-5.35047,-16.311,-39.7866,15.7622
735.819,23.1497,-2.28941,0,-0.59157,9.02443,-1.18074,31.4939,25.1829,37.4695,-37.0414,-2.20821,-6.03066,-13.5061,-38.0183,9.14634
735.829,22.9106,-2.54837,0,-0.838257,8.4161,-0.66821,29.6646,19.2073,34.4512,-36.5624,-2.03577,-5.80074,-9.63415,-37.622,5.09146
735.839,22.5523,-2.79563,0,-1.28134,8.78254,-0.462239,28.2012,10.4878,27.1341,-36.3708,-2.01661,-5.75284,-4.87805,-39.5732,2.04268
735.849,22.2183,-3.03781,0,-0.732876,8.00176,-0.335303,24.878,-0.701219,22.622,-36.5145,-2.07409,-5.85822,-4.39024,-41.0671,-0.701219
735.859,21.8258,-3.24609,0,-0.6251,7.86045,-0.301772,23.1402,-14.6951,14.5732,-36.8019,-2.08367,-5.49417,-4.54268,-39.1159,-5
735.869,21.3846,-3.45563,0,0.165256,8.00655,-0.165256,24.1159,-23.4451,4.26829,-36.7252,-1.55676,-5.63788,-7.40854,-38.4146,-9.78659
735.879,21.0451,-3.64602,0,1.09452,7.96823,0.114961,23.7195,-29.2073,-5.21341,-36.1792,-0.886157,-5.36963,-12.622,-36.0671,-15.1524
735.889,20.8237,-3.82956,0,2.10043,7.80776,0.56762,19.2988,-33.9329,-10.3659,-36.0642,-0.387993,-5.35047,-18.4756,-31.9512,-19.5122
